City,Country,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
elektrostal,RU,-16.66,77,0,2,55.79,38.44
raditsa-krylovka,RU,-11,61,0,5,53.32,34.36
plotnikovo,RU,-5,73,20,2,55.04,83.4
hammond,US,18.06,100,90,3.12,30.5,-90.46
san luis,AR,20.31,50,0,5.32,-33.3,-66.34
marrero,US,18.99,83,1,3.1,29.9,-90.1
lingating,PH,27.91,74,64,2.42,8.33,124.63
mondragon,PH,28.21,96,0,7.32,12.52,124.75
iraan,US,8,36,1,2.92,30.91,-101.9
kaptanganj,,,,,,,
raghudebbati,IN,32,38,64,3.6,22.53,88.2
alanganallur,IN,33,52,40,2.6,10.05,78.09
sohodol,RO,2.86,91,64,0.97,45.73,22.67
duda,RO,11,66,0,2.1,46.75,28.04
dragoesti,RO,6,87,0,6.7,47.55,26.08
pirenopolis,BR,19,93,40,4.6,-15.85,-48.96
ituporanga,BR,17.06,95,92,1.32,-27.41,-49.6
campinas,BR,22,88,0,2.6,-22.91,-47.06
octopan,,,,,,,
ixtacuixtla,,,,,,,
calpan,,,,,,,
geldern,DE,-2,79,75,5.7,51.52,6.32
oranienburg,DE,-5,53,40,7.7,52.75,13.25
wolmirstedt,DE,-6.54,91,92,9.02,52.25,11.63
martellago,IT,8.27,93,40,2.6,45.55,12.16
noto,IT,13.27,93,0,3.1,36.89,15.07
galatina,IT,15.3,82,20,11.3,40.17,18.17
megali panayia,GR,10,87,20,1.5,40.45,23.68
thasos,GR,11,81,75,3.1,40.78,24.71
ayios stefanos,,,,,,,
cachira,CO,22.93,78,40,2.1,7.74,-73.05
san andres,PH,27.91,97,48,5.72,13.32,122.68
morroa,CO,26.31,85,0,4.52,9.33,-75.31
lunel,FR,6.24,87,0,2.1,43.67,4.13
plaisir,FR,5.43,93,24,1,48.82,1.95
hombourg-haut,FR,2.16,99,90,7.7,49.13,6.78
aberchirder,GB,1,59,90,6.7,57.56,-2.62
crawley,GB,2.18,86,75,8.7,51.11,-0.18
chester,GB,1.23,80,75,9.8,53.19,-2.89
